ADMIN_AREA_NAME,Short Name,1971,1976,1981,1986,1991,1996,2001,2006,2011,2016,2021
British Columbia,British Columbia,2184621,2466608,2744457,2883000,3282060,3724500,3907738,4113487,4400057,4648055,5000879
Regional District of Alberni-Clayoquot,Alberni-Clayoquot,31747,32174,32558,30341,31224,31652,30345,30664,31061,30981,33521
Regional District of Bulkley-Nechako,Bulkley-Nechako,27145,32617,38309,37470,38343,41642,40856,38243,39208,37896,37737
Capital Regional District,Capital,204803,230592,249473,264614,299550,317989,325754,345164,359991,383360,415451
Cariboo Regional District,Cariboo,39357,51616,59252,59495,61059,66475,65659,62190,62392,61988,62931
Central Coast Regional District,Central Coast,4215,4184,3047,3120,3482,3921,3781,3189,3206,3319,3582
Regional District of Central Kootenay,Central Kootenay,44791,48962,52045,49110,51073,58099,57019,55883,58441,59517,62509
Regional District of Central Okanagan,Central Okanagan,50177,71254,85237,89730,111846,136541,147739,162276,179839,194882,222162
Columbia-Shuswap Regional District,Columbia-Shuswap,30641,35569,40131,39917,41665,48116,48219,50141,50512,51366,57021
Comox Valley Regional District,Comox Valley / Strathcona***,47345,57186,68621,71145,82729,97666,96131,101595,106790,111198,120595
Cowichan Valley Regional District,Cowichan Valley,38988,47100,52701,52466,60560,70978,71998,76929,80332,83739,89013
Regional District of East Kootenay,East Kootenay,39720,46450,53723,53089,52368,56366,56291,55485,56685,60439,65896
Regional District of Fraser-Fort George,Fraser-Fort George,64364,79616,89431,89337,90739,98974,95317,92264,91879,94506,96979
Fraser Valley Regional District,Fraser Valley****,114402,154354,192002,216842,186163,222397,237550,257031,277593,295934,324005
Metro Vancouver Regional District,Greater Vancouver****,1058210,1122675,1211779,1313661,1602590,1831665,1986965,2116581,2313328,2463431,2642825
Regional District of Kitimat-Stikine,Kitimat-Stikine*,37326,38718,42400,39483,41535,43618,40876,37999,37000,36978,37507
Regional District of Kootenay Boundary,Kootenay-Boundary,31396,31706,33232,30335,31194,32906,31843,30742,31138,31447,33152
Regional District of Mount Waddington,Mount Waddington,10408,12476,14671,14934,13896,14601,13111,11651,11506,11035,10839
Regional District of Nanaimo,Nanaimo,48006,61879,77101,82180,101736,121783,127016,138631,146574,155698,170367
Regional District of North Okanagan,North Okanagan,34039,46860,54352,54820,61744,71607,73227,77301,81237,84354,91610
Northern Rockies Regional Municipality,Northern Rockies**,2289,3080,3852,5138,5038,5854,5720,6147,5578,5393,4478
Regional District of Okanagan-Similkameen,Okanagan-Similkameen,42752,51520,57185,59089,66701,75933,76635,79475,80742,83022,90178
Peace River Regional District,Peace River**,41707,41762,51611,51996,53317,56477,55080,58264,60082,62942,61532
qathet Regional District,Powell River,18536,19648,19364,18374,18477,19936,19765,19599,19906,20070,21496
North Coast Regional District,Skeena-Queen Charlotte,22299,22662,24023,23061,24287,24795,21693,19664,18784,18133,18181
Squamish-Lillooet Regional District,Squamish-Lillooet,13081,15769,18928,17891,23421,29401,33011,35225,38173,42665,50496
Stikine Region,Stikine Region*,1470,1545,1953,2166,2153,1393,1316,1109,990,1129,966
Sunshine Coast Regional District,Sunshine Coast,9655,12508,15503,16758,20785,24914,25599,27759,28619,29970,32170
Thompson-Nicola Regional District,Thompson-Nicola,75752,92126,101983,96805,104386,118801,119222,122286,128471,132663,146680
