ADMIN_AREA_NAME,Short Name,1971,1976,1981,1986,1991,1996,2001,2006,2011,2016,2021
British Columbia,British Columbia,,,,,,,,,,,
Regional District of Alberni-Clayoquot,Alberni-Clayoquot,,,,,,,,,,,
Regional District of Bulkley-Nechako,Bulkley-Nechako,,,,,,,,,,,
Capital Regional District,Capital,,,,,,,,,,,
Cariboo Regional District,Cariboo,,,,,,,,,,,
Central Coast Regional District,Central Coast,,,,,,,,,,,
Regional District of Central Kootenay,Central Kootenay,,,,,,,,,,,
Regional District of Central Okanagan,Central Okanagan,,,,,,,,,,,
Columbia-Shuswap Regional District,Columbia-Shuswap,,,,,,,,,,,
Comox Valley Regional District,Comox Valley / Strathcona***,,,,,,,,,,,
Cowichan Valley Regional District,Cowichan Valley,,,,,,,,,,,
Regional District of East Kootenay,East Kootenay,,,,,,,,,,,
Regional District of Fraser-Fort George,Fraser-Fort George,,,,,,,,,,,
Fraser Valley Regional District,Fraser Valley****,,,,,,,,,,,
Metro Vancouver Regional District,Greater Vancouver****,,,,,,,,,,,
Regional District of Kitimat-Stikine,Kitimat-Stikine*,,,,,,,,,,,
Regional District of Kootenay Boundary,Kootenay-Boundary,,,,,,,,,,,
Regional District of Mount Waddington,Mount Waddington,,,,,,,,,,,
Regional District of Nanaimo,Nanaimo,,,,,,,,,,,
Regional District of North Okanagan,North Okanagan,,,,,,,,,,,
Northern Rockies Regional Municipality,Northern Rockies**,,,,,,,,,,,
Regional District of Okanagan-Similkameen,Okanagan-Similkameen,,,,,,,,,,,
Peace River Regional District,Peace River**,,,,,,,,,,,
qathet Regional District,Powell River,,,,,,,,,,,
North Coast Regional District,Skeena-Queen Charlotte,,,,,,,,,,,
Squamish-Lillooet Regional District,Squamish-Lillooet,,,,,,,,,,,
Stikine Region,Stikine Region*,,,,,,,,,,,
Sunshine Coast Regional District,Sunshine Coast,,,,,,,,,,,
Thompson-Nicola Regional District,Thompson-Nicola,,,,,,,,,,,
